sample_name	organism	isolate	dev_stage	collection_date	geo_loc_name	sex	tissue	treatment
Sample_FC42	mus musculus	Smoking-exposure control group (sample Sample_FC42)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE1P1	mus musculus	Smoking-exposure experimental group (sample Sample_FE1P1)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE1P3	mus musculus	Smoking-exposure experimental group (sample Sample_FE1P3)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE2P1	mus musculus	Smoking-exposure experimental group (sample Sample_FE2P1)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE3P1	mus musculus	Smoking-exposure experimental group (sample Sample_FE3P1)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE3P2	mus musculus	Smoking-exposure experimental group (sample Sample_FE3P2)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE42	mus musculus	Smoking-exposure experimental group (sample Sample_FE42)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_P1_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P1_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P1_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P1_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P1_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P1_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_P1_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P1_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	male	Brain	Smoking
Sample_p10_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p10_e121018)	Pup	2018-12-10	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P11_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P11_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p12_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p12_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_p12_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p12_e121018)	Pup	2018-12-10	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P12_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P12_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_p13_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p13_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p13_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p13_e121018)	Pup	2018-12-10	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P13_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P13_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P13_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P13_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	female	Brain	Smoking
Sample_p14_e121218	mus musculus	Nicotine-exposure experimental group (sample Sample_p14_e121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P14_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P14_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p15_e121218	mus musculus	Nicotine-exposure experimental group (sample Sample_p15_e121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p16_e121218	mus musculus	Nicotine-exposure experimental group (sample Sample_p16_e121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P16_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P16_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P16_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P16_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p17_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p17_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_p17_e121218	mus musculus	Nicotine-exposure experimental group (sample Sample_p17_e121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P17_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P17_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p18_e121218	mus musculus	Nicotine-exposure experimental group (sample Sample_p18_e121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P18_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P18_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p19_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p19_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p19_e121218	mus musculus	Nicotine-exposure experimental group (sample Sample_p19_e121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P19_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P19_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p2_e120918	mus musculus	Nicotine-exposure experimental group (sample Sample_p2_e120918)	Pup	2018-12-09	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P2_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P2_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P2_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P2_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P2_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P2_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	female	Brain	Smoking
Sample_P2_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P2_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	male	Brain	Smoking
Sample_p20_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p20_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p22_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p22_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P22_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P22_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P3_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P3_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P3_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P3_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	male	Brain	Smoking
Sample_P3_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P3_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	female	Brain	Smoking
Sample_p4_e120918	mus musculus	Nicotine-exposure experimental group (sample Sample_p4_e120918)	Pup	2018-12-09	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P4_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P4_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P4_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P4_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P4_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P4_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	female	Brain	Smoking
Sample_P4_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P4_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P4_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P4_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	female	Brain	Smoking
Sample_P4_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P4_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	male	Brain	Smoking
Sample_p5_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p5_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_p5_e120918	mus musculus	Nicotine-exposure experimental group (sample Sample_p5_e120918)	Pup	2018-12-09	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P5_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P5_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P5_fc2_022119	mus musculus	Smoking-exposure control group (sample Sample_P5_fc2_022119)	Pup	2019-02-21	United States: Baltimore, MD	female	Brain	Smoking
Sample_P5_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P5_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	male	Brain	Smoking
Sample_P5_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P5_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P5_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P5_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P5_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P5_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_P5_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P5_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	female	Brain	Smoking
Sample_p6_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p6_e121018)	Pup	2018-12-10	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P6_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P6_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P6_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P6_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P6_fc2_022119	mus musculus	Smoking-exposure control group (sample Sample_P6_fc2_022119)	Pup	2019-02-21	United States: Baltimore, MD	male	Brain	Smoking
Sample_P6_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P6_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P6_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P6_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	female	Brain	Smoking
Sample_p7_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p7_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p7_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p7_e121018)	Pup	2018-12-10	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P7_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P7_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P7_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P7_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	female	Brain	Smoking
Sample_P7_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P7_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P7_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P7_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_p8_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p8_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p8_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p8_e121018)	Pup	2018-12-10	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P8_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P8_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P8_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P8_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	male	Brain	Smoking
Sample_P8_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P8_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p9_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p9_e121018)	Pup	2018-12-10	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P9_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P9_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_4042	mus musculus	Nicotine-exposure control group (sample Sample_4042)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4047	mus musculus	Nicotine-exposure experimental group (sample Sample_4047)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4050	mus musculus	Nicotine-exposure control group (sample Sample_4050)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4052	mus musculus	Nicotine-exposure control group (sample Sample_4052)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4053	mus musculus	Nicotine-exposure control group (sample Sample_4053)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4058	mus musculus	Nicotine-exposure control group (sample Sample_4058)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4063	mus musculus	Nicotine-exposure control group (sample Sample_4063)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4067	mus musculus	Nicotine-exposure experimental group (sample Sample_4067)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_FC1P2	mus musculus	Smoking-exposure control group (sample Sample_FC1P2)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC2P2	mus musculus	Smoking-exposure control group (sample Sample_FC2P2)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC31	mus musculus	Smoking-exposure control group (sample Sample_FC31)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC32	mus musculus	Smoking-exposure control group (sample Sample_FC32)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC41	mus musculus	Smoking-exposure control group (sample Sample_FC41)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC43	mus musculus	Smoking-exposure control group (sample Sample_FC43)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE1P2	mus musculus	Smoking-exposure experimental group (sample Sample_FE1P2)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE2P2	mus musculus	Smoking-exposure experimental group (sample Sample_FE2P2)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE3P3	mus musculus	Smoking-exposure experimental group (sample Sample_FE3P3)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE41	mus musculus	Smoking-exposure experimental group (sample Sample_FE41)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE43	mus musculus	Smoking-exposure experimental group (sample Sample_FE43)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FE44	mus musculus	Smoking-exposure experimental group (sample Sample_FE44)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_p1_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p1_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_p1_e120918	mus musculus	Nicotine-exposure experimental group (sample Sample_p1_e120918)	Pup	2018-12-09	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P1_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P1_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P1_fc2_022119	mus musculus	Smoking-exposure control group (sample Sample_P1_fc2_022119)	Pup	2019-02-21	United States: Baltimore, MD	female	Brain	Smoking
Sample_P1_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P1_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	male	Brain	Smoking
Sample_P1_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P1_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p10_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p10_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P10_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P10_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P10_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P10_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P10_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P10_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_p11_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p11_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_p11_e121018	mus musculus	Nicotine-exposure experimental group (sample Sample_p11_e121018)	Pup	2018-12-10	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P11_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P11_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P11_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P11_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_P12_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P12_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P12_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P12_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P13_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P13_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p14_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p14_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P14_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P14_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P14_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P14_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	female	Brain	Smoking
Sample_p15_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p15_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P15_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P15_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P15_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P15_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p16_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p16_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P17_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P17_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p18_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p18_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P18_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P18_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P19_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P19_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p2_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p2_c121218)	Pup	2018-12-12	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P2_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P2_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P2_fc2_022119	mus musculus	Smoking-exposure control group (sample Sample_P2_fc2_022119)	Pup	2019-02-21	United States: Baltimore, MD	male	Brain	Smoking
Sample_P2_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P2_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	female	Brain	Smoking
Sample_P2_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P2_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P20_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P20_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P20_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P20_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p21_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p21_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P21_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P21_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P21_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P21_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_p23_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p23_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p3_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p3_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_p3_e120918	mus musculus	Nicotine-exposure experimental group (sample Sample_p3_e120918)	Pup	2018-12-09	United States: Baltimore, MD	female	Brain	Nicotine
Sample_P3_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P3_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P3_fc2_022119	mus musculus	Smoking-exposure control group (sample Sample_P3_fc2_022119)	Pup	2019-02-21	United States: Baltimore, MD	female	Brain	Smoking
Sample_P3_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P3_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P3_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P3_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P3_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P3_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	female	Brain	Smoking
Sample_p4_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p4_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P4_fc2_022119	mus musculus	Smoking-exposure control group (sample Sample_P4_fc2_022119)	Pup	2019-02-21	United States: Baltimore, MD	female	Brain	Smoking
Sample_P4_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P4_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P5_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P5_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_p6_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p6_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P6_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P6_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	female	Brain	Smoking
Sample_P6_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P6_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P6_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P6_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_P7_fc1_022019	mus musculus	Smoking-exposure control group (sample Sample_P7_fc1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P7_fe1_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P7_fe1_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P8_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P8_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
