sample_name	organism	isolate	dev_stage	collection_date	geo_loc_name	sex	tissue	treatment
Sample_2914	mus musculus	Nicotine-exposure experimental group (sample Sample_2914)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4043	mus musculus	Nicotine-exposure control group (sample Sample_4043)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4044	mus musculus	Nicotine-exposure control group (sample Sample_4044)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4045	mus musculus	Nicotine-exposure experimental group (sample Sample_4045)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4046	mus musculus	Nicotine-exposure control group (sample Sample_4046)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4048	mus musculus	Nicotine-exposure experimental group (sample Sample_4048)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4049	mus musculus	Nicotine-exposure experimental group (sample Sample_4049)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4054	mus musculus	Nicotine-exposure experimental group (sample Sample_4054)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4055	mus musculus	Nicotine-exposure experimental group (sample Sample_4055)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4056	mus musculus	Nicotine-exposure experimental group (sample Sample_4056)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4057	mus musculus	Nicotine-exposure experimental group (sample Sample_4057)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4059	mus musculus	Nicotine-exposure control group (sample Sample_4059)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4060	mus musculus	Nicotine-exposure control group (sample Sample_4060)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4065	mus musculus	Nicotine-exposure experimental group (sample Sample_4065)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_4066	mus musculus	Nicotine-exposure experimental group (sample Sample_4066)	Adult	not collected	United States: Baltimore, MD	female	Brain	Nicotine
Sample_FC1P1	mus musculus	Smoking-exposure control group (sample Sample_FC1P1)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC1P3	mus musculus	Smoking-exposure control group (sample Sample_FC1P3)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC2P1	mus musculus	Smoking-exposure control group (sample Sample_FC2P1)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC2P3	mus musculus	Smoking-exposure control group (sample Sample_FC2P3)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC2P4	mus musculus	Smoking-exposure control group (sample Sample_FC2P4)	Adult	not collected	United States: Baltimore, MD	female	Brain	Smoking
