Gene	DE_condition	GWAS_metaAnalysis_Group
Camkv	Smo	TUD_EUR_H_MAGMA_adult
Cds1	Smo	TUD_EUR_H_MAGMA_adult
Celsr3	Smo	TUD_EUR_H_MAGMA_adult
Cep57	Smo	TUD_EUR_H_MAGMA_adult
Chrna3	Smo	TUD_EUR_H_MAGMA_adult
Coq8a	Smo	TUD_EUR_H_MAGMA_adult
Dalrd3	Smo	TUD_EUR_H_MAGMA_adult
Drd2	Smo	TUD_EUR_H_MAGMA_adult
Fndc5	Smo	TUD_EUR_H_MAGMA_adult
Impdh2	Smo	TUD_EUR_H_MAGMA_adult
Ip6k1	Smo	TUD_EUR_H_MAGMA_adult
Mtmr2	Smo	TUD_EUR_H_MAGMA_adult
Myef2l	Smo	TUD_EUR_H_MAGMA_adult
Nicn1	Smo	TUD_EUR_H_MAGMA_adult
Phactr4	Smo	TUD_EUR_H_MAGMA_adult
Ptprf	Smo	TUD_EUR_H_MAGMA_adult
Rpe	Smo	TUD_EUR_H_MAGMA_adult
Syf2	Smo	TUD_EUR_H_MAGMA_adult
Tcta	Smo	TUD_EUR_H_MAGMA_adult
Jazf1	Nic	TUD_EUR_S_MultiXcan
Trim35	Nic	TUD_EUR_S_MultiXcan
Celsr3	Smo	TUD_EUR_S_MultiXcan
Coq8a	Smo	TUD_EUR_S_MultiXcan
Dalrd3	Smo	TUD_EUR_S_MultiXcan
Gmppb	Smo	TUD_EUR_S_MultiXcan
Jazf1	Smo	TUD_EUR_S_MultiXcan
Mon1a	Smo	TUD_EUR_S_MultiXcan
P4htm	Smo	TUD_EUR_S_MultiXcan
Jazf1	Nic	TUD_EUR_S_PrediXcan
Trim35	Nic	TUD_EUR_S_PrediXcan
Celsr3	Smo	TUD_EUR_S_PrediXcan
Dalrd3	Smo	TUD_EUR_S_PrediXcan
Gmppb	Smo	TUD_EUR_S_PrediXcan
Jazf1	Smo	TUD_EUR_S_PrediXcan
Mon1a	Smo	TUD_EUR_S_PrediXcan
Nicn1	Smo	TUD_EUR_S_PrediXcan
Oprd1	Smo	TUD_EUR_S_PrediXcan
P4htm	Smo	TUD_EUR_S_PrediXcan
Phactr4	Smo	TUD_EUR_S_PrediXcan
Plxnb1	Smo	TUD_EUR_S_PrediXcan
Rbbp5	Smo	TUD_EUR_S_PrediXcan
Rbm6	Smo	TUD_EUR_S_PrediXcan
Rnf123	Smo	TUD_EUR_S_PrediXcan
Sema3f	Smo	TUD_EUR_S_PrediXcan
Gmppb	Smo	TUD_EUR_S_PrediXcan_FC
P4htm	Smo	TUD_EUR_S_PrediXcan_FC
