sample_id	flowcell
Sample_P4_fe1_021919	HKCNKDSXX
Sample_P4_fe2_022019	HKCMHDSXX
Sample_P4_fe3_021719	HKCNKDSXX
Sample_P4_fe3_021819	HKCMHDSXX
Sample_p5_c121218	HKCMHDSXX
Sample_p5_e120918	HKCNKDSXX
Sample_P5_fc1_022019	HKCNKDSXX
Sample_P5_fc2_022119	HKCNKDSXX
Sample_P5_fe1_021919	HKCNKDSXX
Sample_P5_fe1_022019	HKCNKDSXX
Sample_P5_fe2_022019	HKCMHDSXX
Sample_P5_fe3_021719	HKCMHDSXX
Sample_P5_fe3_021819	HKCMHDSXX
Sample_p6_e121018	HKCMHDSXX
Sample_P6_fc1_022019	HKCNKDSXX
Sample_P6_fc2_022019	HKCNKDSXX
Sample_P6_fc2_022119	HKCMHDSXX
Sample_P6_fe1_022019	HKCTMDSXX
Sample_P6_fe3_021819	HKCNKDSXX
Sample_p7_c121218	HKCMHDSXX
Sample_p7_e121018	HKCMHDSXX
Sample_P7_fc2_022019	HKCMHDSXX
Sample_P7_fe1_021919	HKCMHDSXX
Sample_P7_fe2_022019	HKCNKDSXX
Sample_P7_fe3_021719	HKCNKDSXX
Sample_p8_c121218	HKCNKDSXX
Sample_p8_e121018	HKCMHDSXX
Sample_P8_fc1_022019	HKCNKDSXX
Sample_P8_fe1_021919	HKCMHDSXX
Sample_P8_fe1_022019	HKCMHDSXX
Sample_p9_e121018	HKCMHDSXX
Sample_P9_fc1_022019	HKCNKDSXX
Sample_4042	HKCG7DSXX
Sample_4047	HKCG7DSXX
Sample_4050	HKCG7DSXX
Sample_4052	HKCNKDSXX
Sample_4053	HKCNKDSXX
Sample_4058	HKCG7DSXX
Sample_4063	HKCG7DSXX
Sample_4067	HKCG7DSXX
Sample_FC1P2	HKCG7DSXX
Sample_FC2P2	HKCG7DSXX
Sample_FC31	HKCG7DSXX
Sample_FC32	HKCG7DSXX
Sample_FC41	HKCG7DSXX
Sample_FC43	HKCG7DSXX
Sample_FE1P2	HKCNKDSXX
Sample_FE2P2	HKCNKDSXX
Sample_FE3P3	HKCG7DSXX
Sample_FE41	HKCNKDSXX
Sample_FE43	HKCG7DSXX
Sample_FE44	HKCNKDSXX
Sample_p1_c121218	HKCNKDSXX
Sample_p1_e120918	HKCNKDSXX
Sample_P1_fc1_022019	HKCG7DSXX
Sample_P1_fc2_022119	HKCNKDSXX
Sample_P1_fe1_021919	HKCG7DSXX
Sample_P1_fe2_022019	HKCNKDSXX
Sample_p10_c121218	HKCNKDSXX
Sample_P10_fc1_022019	HKCNKDSXX
Sample_P10_fc2_022019	HKCG7DSXX
Sample_P10_fe3_021719	HKCG7DSXX
Sample_p11_c121218	HKCG7DSXX
Sample_p11_e121018	HKCMHDSXX
Sample_P11_fc1_022019	HKCG7DSXX
Sample_P11_fe3_021719	HKCNKDSXX
Sample_P12_fc1_022019	HKCNKDSXX
Sample_P12_fc2_022019	HKCNKDSXX
Sample_P13_fc2_022019	HKCNKDSXX
Sample_p14_c121218	HKCNKDSXX
Sample_P14_fc2_022019	HKCNKDSXX
Sample_P14_fe3_021719	HKCNKDSXX
Sample_p15_c121218	HKCG7DSXX
Sample_P15_fc1_022019	HKCNKDSXX
Sample_P15_fc2_022019	HKCNKDSXX
